query_id,doc_id,similarity,is_relevant,doc_preview
1,184,0.9529946446418762,Relevant,scale models for thermo-aeroelastic research . an investigation is made of the parameters to be sati...
1,29,0.9333618879318237,Relevant,a simple model study of transient temperature and thermal stress distribution due to aerodynamic hea...
1,471,0.0,Non-Relevant (Low Sim),...
1,995,0.0,Non-Relevant (Low Sim),...
1,86,0.9554179906845093,Non-Relevant (High Sim - Problem!),inviscid-incompressible flow theory of static peripheral jets in proximity to the ground . an /exact...
1,719,0.952871561050415,Non-Relevant (High Sim - Problem!),tumbling bodies entering the atmosphere . the equations of motion of a tumbling flat plate entering ...
2,12,0.9710094928741455,Relevant,some structural and aerelastic considerations of high speed flight . the dominating factors in struc...
2,15,0.9348954558372498,Relevant,on two-dimensional panel flutter . theory and experiments of the flutter of a buckled plate are disc...
2,471,0.0,Non-Relevant (Low Sim),...
2,995,0.0,Non-Relevant (Low Sim),...
2,1169,0.9709453582763672,Non-Relevant (High Sim - Problem!),hangling qualities experience with several vtol research aircraft . all of the vtol research aircraf...
2,1163,0.9700937867164612,Non-Relevant (High Sim - Problem!),force-test investigation of the stability and control characteristics of a scale model of a tilt-win...
4,236,0.9416465163230896,Relevant,"criteria for thermodynamic equilibrium in gas flow . when gases flow at high velocity, the rates of ..."
4,166,0.9385630488395691,Relevant,flow of chemically reacting gas mixtures . suitable forms of the equations for the flow of an invisc...
4,471,0.0,Non-Relevant (Low Sim),...
4,995,0.0,Non-Relevant (Low Sim),...
4,315,0.9554678201675415,Non-Relevant (High Sim - Problem!),scale effects at high subsonic and transonic speeds and methods for fixing transition in model exper...
4,550,0.9540590047836304,Non-Relevant (High Sim - Problem!),laminar heat transfer in tubes under slip-flow conditions . the effects of low-density phenomena on ...
