query_id,query_text,rank,doc_id,similarity
1,what similarity laws must be obeyed when constructing aeroelastic models of heated high speed aircra,1,51,0.9589
1,what similarity laws must be obeyed when constructing aeroelastic models of heated high speed aircra,2,86,0.9554
1,what similarity laws must be obeyed when constructing aeroelastic models of heated high speed aircra,3,14,0.9539
2,what are the structural and aeroelastic problems associated with flight of high speed aircraft .,1,12,0.971
2,what are the structural and aeroelastic problems associated with flight of high speed aircraft .,2,1169,0.9709
2,what are the structural and aeroelastic problems associated with flight of high speed aircraft .,3,1163,0.9701
4,what problems of heat conduction in composite slabs have been solved so far .,1,315,0.9555
4,what problems of heat conduction in composite slabs have been solved so far .,2,550,0.9541
4,what problems of heat conduction in composite slabs have been solved so far .,3,1287,0.9536
8,can a criterion be developed to show empirically the validity of flow solutions for chemically react,1,236,0.9746
8,can a criterion be developed to show empirically the validity of flow solutions for chemically react,2,1374,0.9737
8,can a criterion be developed to show empirically the validity of flow solutions for chemically react,3,1297,0.9711
9,what chemical kinetic system is applicable to hypersonic aerodynamic problems .,1,870,0.9184
9,what chemical kinetic system is applicable to hypersonic aerodynamic problems .,2,1374,0.9117
9,what chemical kinetic system is applicable to hypersonic aerodynamic problems .,3,1219,0.9102
