Word,PC1,PC2,Category
chapel,3.3656652,0.38792232,church
catholic,4.5704584,-0.4680323,church
spaces,-0.27207038,0.90500456,space
administration,0.7351793,1.1894397,government
spacecraft,-1.7999924,3.2419143,space
player,-1.7748599,-3.3685212,game
computers,-2.1516452,1.159163,computer
play,-0.92577624,-3.3501902,game
space,-1.5933577,2.2194068,space
cathedral,3.8426235,0.037523385,church
baptist,4.2317047,-0.10331044,church
hardware,-2.2122207,1.1309007,computer
earth,-0.68955344,1.5965991,space
technology,-2.3251607,1.571976,computer
pc,-2.525115,0.26241562,computer
game,-2.211212,-3.8152144,game
authorities,1.0841206,0.28423867,government
nasa,-1.3620155,2.7766068,space
churches,3.9855278,-0.002110467,church
computer,-2.938968,1.1055472,computer
opposition,1.5973182,-0.3415122,government
season,-1.3534783,-3.9509096,game
officials,0.8165775,0.29258564,government
government,1.2060858,0.39252335,government
games,-1.855338,-3.6041121,game
church,4.569895,-0.12246664,church
governments,1.174218,0.082594655,government
software,-2.8638847,0.89814734,computer
players,-1.1396347,-3.3127553,game
shuttle,-1.1850944,2.9046276,space
